g_m,g_T,g_r,g_q,g_sigma,g_amercall_fde
1.446538052,1.199890411,0.070153909,0.025172657,0.743796615,0.208932635
1.912118411,0.701260274,0.060148151,0.012034849,1.449756106,0.291300358
3.732674474,0.068493151,0.015626131,0.004435005,1.634225083,0.000234861
3.679779766,1.199890411,0.030097915,0.001864527,0.143950032,0
2.610844024,2.043835616,0.035691203,0.006298701,0.273702534,0.002177349
2.342240953,1.698520548,0.033953073,0.01821213,0.899494159,0.221741079
0.620261673,1.449205479,0.008668571,0.049011872,1.729875711,0.728300387
1.262954176,1.698520548,0.056616091,0.00156722,1.349769699,0.59206836
1.268522937,1.449205479,0.056616091,0.011597125,1.604309064,0.62679865
3.379961048,0.068493151,0.039052622,0.004435005,0.661381143,0
3.32362844,0.087671233,0.075430388,0.042323242,1.783509761,0.003735151
4.597523791,0.068493151,0.048467199,0.049542979,0.934877818,0
1.330860804,0.202630137,0.017547942,0.009341028,0.835739524,0.05484328
3.215987693,0.27660274,0.035105478,0.047261985,0.524707186,1.04E-06
4.561040083,0.528657534,0.071773816,0.036945064,1.405567194,0.060421564
4.221482596,0.106849315,0.058150811,0.047090518,1.053216314,2.22E-06
3.672297638,2.043835616,0.075839915,0.023998552,0.099002821,0
3.679779766,0.375232877,0.033561724,0.013145263,1.44889959,0.049810297
4.551544908,0.375232877,0.03209266,0.035045982,1.592420196,0.047977408
2.553528034,0.049315068,0.060749035,0.026992844,1.034525443,1.89E-06
3.093102868,0.087671233,0.007484713,0.02938285,1.552942819,0.001793101
4.469959177,1.449205479,0.042175091,0.011016043,0.604371241,0.011988214
3.185018078,0.010958904,0.02746357,0.000807695,0.16088223,0
1.180990297,1.199890411,0.01541913,0.022704455,1.217398859,0.44080024
3.853687605,0.087671233,0.078937393,0.045350207,1.979106538,0.004082497
1.575596232,0.451945205,0.03022932,0.037251375,0.657496502,0.041582526
2.963320695,0.068493151,0.035691203,0.01837691,1.761750013,0.002425412
3.26425537,0.049315068,0.002928718,0.008885306,1.026482207,7.77E-09
4.933345225,0.202630137,0.051107433,0.000613162,0.858650329,3.35E-06
3.673808043,1.046575342,0.00827254,0.03805456,1.432586199,0.230781463
4.564075026,0.375232877,0.026913802,0.021665777,1.594901494,0.048559445
2.607025188,1.046575342,0.004289572,0.017580585,0.352770951,0.000609328
1.658748993,0.049315068,0.07756732,0.004805658,1.050797124,0.001664161
0.538454446,0.202630137,0.006031713,0.011276867,1.58297541,0.512976432
2.547767003,0.049315068,0.000656691,0.021802026,1.760137507,0.001695053
4.945690673,0.701260274,0.06097697,0.017258281,1.130087615,0.03790702
3.646823868,1.199890411,0.005140929,0.046786367,1.398803621,0.25105032
1.350343806,1.199890411,0.054564403,0.028778862,0.39625926,0.077086776
4.504663845,0.068493151,0.009759782,0.017181171,0.832799739,0
0.419831988,0.087671233,0.070725792,0.027265981,1.086527215,0.580691188
4.016710755,0.087671233,0.000973197,0.045716751,0.487138209,0
2.590812306,1.698520548,0.057456189,0.030661062,1.899240159,0.646296088
0.570458515,0.068493151,0.023127204,0.020928669,0.258792545,0.429541485
4.862110054,0.528657534,0.035000265,0.040167385,0.724412712,0.000399907
1.435273429,0.701260274,0.053730094,0.027871877,0.704345644,0.116178562
1.339544589,2.043835616,0.002285767,0.043430297,0.447285735,0.122738648
4.683640518,0.701260274,0.068844716,0.007675367,0.18600847,0
0.918266014,0.701260274,0.030737325,0.015410479,1.545809958,0.501948858
0.356180924,1.449205479,0.016824726,0.016449595,0.627241936,0.653641491
3.246048469,1.698520548,0.047751164,0.001382251,1.996195619,0.680765907
3.084262501,0.106849315,0.009758528,0.029733731,0.531466838,0
2.755532965,0.030136986,0.072733516,0.017452958,0.112301187,0
1.387117351,0.451945205,0.008887367,0.047899129,0.338761424,0.007461306
4.960088876,0.202630137,0.005044073,0.015663518,0.487138209,0
3.132620056,0.068493151,0.064559082,0.024758537,0.185857279,0
2.805311237,0.451945205,0.016895526,0.028693313,0.675860442,0.002788581
0.706981071,0.126027397,0.030612878,0.009446086,0.54411196,0.296807201
3.51996455,0.126027397,0.045163667,0.044035337,0.237979062,0
4.279536971,0.010958904,0.047071021,0.043430297,1.735992056,0
4.571284669,0.27660274,0.076260599,0.013204051,1.135074355,0.00221693
3.492547772,0.106849315,0.070590994,0.013204051,0.894188339,1.20E-06
1.09223202,0.202630137,0.045592293,0.028870921,0.158415901,0.004137717
3.621545413,0.106849315,0.048290722,0.019685399,0.697453243,0
2.869097647,1.449205479,0.032493256,0.012571974,1.524308894,0.437417486
4.26111166,0.106849315,0.065937865,0.0041547,1.921267752,0.004577809
2.175686624,1.449205479,0.006407495,0.046804153,1.031291178,0.240105092
3.752238798,0.451945205,0.030612878,0.036683203,0.706728959,0.000679181
0.232065883,1.698520548,0.014670236,0.016501136,0.851310093,0.7792049
4.443946246,0.528657534,0.077468495,0.024099992,0.187473087,0
4.645648551,1.046575342,0.077667712,0.036616826,1.014928332,0.064297766
4.21907068,0.701260274,0.021157745,0.022823977,0.652500089,0.001370636
3.06711263,0.126027397,0.056346099,0.018602182,1.184563088,0.0008873
0.268685572,1.449205479,0.042844898,0.022151261,0.112167966,0.731314428
2.145954697,0.528657534,0.064937227,0.029733731,0.743796615,0.028716748
2.576320401,0.087671233,0.055333629,0.030111363,1.215228326,0.000770517
1.642427319,0.202630137,0.028721913,0.040671988,0.748107099,0.01264515
0.816301768,0.106849315,0.037821783,0.032916953,1.084111435,0.239243047
0.746050308,0.126027397,0.066065092,0.033821163,1.231646493,0.310737943
3.468716514,1.199890411,0.01934084,0.014308464,0.794607403,0.051695061
0.220643482,0.202630137,0.033561724,0.006957424,1.021919886,0.779577957
3.583501413,1.698520548,0.004502875,0.029234226,0.322411568,0.000176765
4.028168345,1.199890411,0.061657584,0.002617807,0.221007142,1.31E-09
2.481194094,0.126027397,0.025288916,0.047899129,0.526770437,3.07E-08
4.40667887,0.106849315,0.020640344,0.045528596,0.481419664,0
2.185653437,0.202630137,0.064943501,0.039300285,1.005197129,0.011022447
0.919034378,0.528657534,0.071644713,0.004805658,0.703137492,0.25072566
1.487836763,0.087671233,0.05550867,0.021978824,1.173231078,0.026744602
2.51594926,0.126027397,0.015223153,0.030672116,1.887375099,0.039049523
0.991876922,0.27660274,0.058689168,0.017754744,0.709875375,0.155002478
4.841398741,0.126027397,0.039857693,0.011240306,1.675529593,0.001591941
4.866610315,1.199890411,0.054674748,0.004827541,1.11630602,0.116728895
0.930505972,0.068493151,0.037981452,0.047382008,0.960106171,0.134504212
1.151546055,1.046575342,0.048974199,0.048766861,1.733484296,0.574980432
3.67321629,0.701260274,0.075275935,0.028211386,1.050797124,0.050427546
0.766043865,1.449205479,0.013366928,0.030752374,0.58554067,0.357453994
2.509914041,0.202630137,0.066534727,0.03629564,1.991166091,0.103807072
1.107709037,0.049315068,0.077361326,0.017743345,0.960106171,0.046543359
0.968382618,0.049315068,0.051376853,0.016414047,0.737518024,0.082118405
0.356832074,0.27660274,0.039125255,0.011223148,1.605074241,0.66867605
1.051702904,2.043835616,0.071578838,0.004789883,0.953442958,0.520371422
3.939936936,1.199890411,0.028620078,0.047251452,1.124636869,0.133645526
4.851117882,0.087671233,0.000548905,0.028067866,0.227820642,0
0.677003696,2.043835616,0.033952039,0.00398213,1.658330932,0.808188252
1.394250969,0.126027397,0.07651167,0.006992019,1.449840536,0.095551938
2.610680049,0.375232877,0.04811494,0.049556786,0.656434544,0.001722923
4.797176499,1.046575342,0.004289572,0.037453808,0.176293548,0
0.891408197,0.126027397,0.042168452,0.015901345,1.795540743,0.29521149
0.284359389,0.068493151,0.042168452,0.006844708,1.729875711,0.716193103
1.198113279,1.046575342,0.066605963,0.009608496,0.438402937,0.129613136
1.174337735,1.199890411,0.041435481,0.044954442,1.92210598,0.656185949
1.99275189,0.27660274,0.045059011,0.028630969,1.050797124,0.038261881
1.910126643,0.030136986,0.022448771,0.036627293,1.524308894,0.000855776
4.851860909,1.046575342,0.005307726,0.010565774,0.67942051,0.005558942
4.742978321,0.126027397,0.039022766,0.009608496,1.192441646,2.67E-05
1.448633281,1.449205479,0.021645423,0.03921166,1.010776855,0.335756161
1.689136324,0.010958904,0.046007318,0.039180903,1.047066311,2.42E-08
1.400626634,0.202630137,0.056351981,0.029396297,0.543225443,0.011235444
1.120722321,0.030136986,0.045978303,0.020145364,0.715188529,0.012891298
2.964603644,0.701260274,0.0704693,0.0294771,1.647880561,0.254319652
3.509451859,1.698520548,0.045397045,0.015918308,1.673709452,0.524343288
1.365765006,0.528657534,0.030449183,0.007853097,0.102934455,5.76E-07
3.121989264,0.049315068,0.037604056,0.024433522,1.957628588,0.00104258
3.215987693,0.068493151,0.001000972,0.020890233,0.522113279,0
2.706102888,0.528657534,0.060811119,0.001286171,0.079251531,0
4.958798567,0.106849315,0.035355088,0.025636289,0.824524266,0
3.944862779,1.199890411,0.025161872,0.009979587,0.641392037,0.013312836
3.352424172,0.701260274,0.069569743,0.001382251,1.441704568,0.17134432
0.614152083,1.698520548,0.03867375,0.022732033,0.344460552,0.410369664
3.939023525,0.068493151,0.074459777,0.007853097,1.763858045,0.000393469
3.380647706,0.049315068,0.000273253,0.03554035,1.387098536,4.80E-06
1.501866156,1.199890411,0.041449204,0.040602008,1.567180903,0.507470533
0.939680337,0.106849315,0.055758215,0.019220129,1.343799441,0.201725625
2.194699177,0.010958904,0.066605963,0.009109122,0.952555749,0
2.231327254,0.106849315,0.011728624,0.013468503,0.078733355,0
3.363494754,0.375232877,0.075798727,0.01447987,1.887375099,0.146179786
3.622127788,0.375232877,0.025288916,0.038519315,0.550428502,8.79E-06
4.461793399,0.126027397,0.039440526,0.012225737,1.651567423,0.002076662
0.906345915,0.528657534,0.033762317,0.03890485,0.258792545,0.124501742
2.285201603,0.451945205,0.053357718,0.013141187,0.748107099,0.016484346
2.346577266,0.27660274,0.020010357,0.026279729,1.755817706,0.124647216
4.176157056,0.068493151,0.024705691,0.009803396,1.507174661,2.85E-05
4.290400852,1.046575342,0.018772452,0.015527555,1.761750013,0.344285342
2.207181236,0.27660274,0.05171779,0.0131605,1.355464285,0.068661784
0.680043808,0.528657534,0.065670173,0.045350207,1.300102129,0.482096407
1.905351752,0.030136986,0.048974199,0.045350207,0.863359433,3.76E-07
1.521020199,1.698520548,0.005951082,0.027079918,0.920710317,0.317635304
1.812486789,0.087671233,0.011212786,0.046519074,0.413625345,1.67E-08
4.190594062,2.043835616,0.067909314,0.021802026,1.486653305,0.475478467
2.974164928,0.068493151,0.019228339,0.004990787,0.543225443,0
1.787453616,0.030136986,0.047668487,0.029396297,1.891289286,0.006725992
0.809648982,1.698520548,0.024205383,0.022093241,1.756455465,0.753478914
0.3875938,0.701260274,0.031104803,0.009520676,0.35913036,0.614243334
3.832428136,0.030136986,0.068838002,0.022311332,0.458442089,0
1.060270734,0.010958904,0.078399343,0.027470989,1.604309064,0.043119763
0.706739552,0.087671233,0.061209969,0.04731391,0.894188339,0.302849189
1.916890999,1.199890411,0.010446501,0.013235508,0.146186594,1.05E-06
3.974747133,0.030136986,0.079005766,0.042302205,0.946424645,0
4.433973946,1.698520548,0.056351981,0.006468041,0.934289585,0.13227586
4.261908226,0.451945205,0.025457929,0.008812912,1.500868905,0.064127415
3.528487901,1.046575342,0.011995495,0.038519315,0.774529035,0.029860389
2.184607688,0.049315068,0.065540851,0.025261173,0.565454501,0
0.734137956,2.043835616,0.077897897,0.042229719,1.135074355,0.620334258
0.748217042,0.126027397,0.026800713,0.036683203,1.231646493,0.306887593
3.960714573,0.087671233,0.008431813,0.030672116,1.499056843,0.000226678
3.020614559,0.528657534,0.038947521,0.02940217,0.184121691,0
1.92724479,0.087671233,0.056166153,0.006781986,1.127944814,0.004419127
4.705799952,0.202630137,0.050852106,0.008885306,0.324870821,0
0.873638536,0.030136986,0.065753111,0.024211018,0.0894816,0.127361572
3.084562508,0.375232877,0.078399343,0.021124437,1.922277895,0.169127393
0.962398377,1.199890411,0.008033661,0.020110116,0.615520532,0.268097957
0.441677064,0.106849315,0.026539078,0.035107058,0.23669341,0.558322936
3.803110022,0.202630137,0.006178087,0.012441696,1.061140952,0.00064801
2.599003606,0.068493151,0.011995495,0.011647847,1.167793032,0.00011915
1.161135466,0.030136986,0.007614799,0.01382904,0.858650329,0.013266459
2.05422826,0.27660274,0.023326913,0.045201631,1.433132475,0.090418959
0.615182034,1.199890411,0.015555594,0.019787337,0.874462534,0.513271709
4.403883322,0.068493151,0.067902433,0.028693313,0.761116089,0
0.648548627,2.043835616,0.068108045,0.004805658,0.964945579,0.635833791
3.202711937,0.030136986,0.042425107,0.007193413,1.888897378,2.82E-05
4.331855065,0.010958904,0.012821333,0.000582631,0.900058563,0
4.973622594,0.068493151,0.04788661,0.016167387,0.982808786,0
3.629516115,0.049315068,0.05474186,0.033270788,1.031291178,0
4.409974226,1.449205479,0.06190832,5.84E-06,0.959950188,0.114484519
0.812987281,0.049315068,0.038969812,0.003387829,1.086527215,0.21155366
2.125150305,1.046575342,0.013273815,0.03115165,0.929230966,0.149296428
2.121021191,1.199890411,0.026272845,0.041559395,0.556808302,0.040846405
3.865704393,0.106849315,0.004502875,0.018901551,0.644716225,0
0.675802253,0.087671233,0.039631704,0.01812147,0.442937406,0.32499715
0.854809764,0.701260274,0.025555601,0.033060361,0.459923945,0.219510715
1.799808083,0.528657534,0.074638328,0.045031476,0.717432474,0.045466922
2.652581806,1.449205479,0.038969812,0.038399116,1.878210514,0.574744612
1.541463993,0.375232877,0.072411178,0.040641377,1.451743724,0.211170703
2.11383392,0.27660274,0.023444329,0.006647305,0.158762596,0
4.927656663,0.528657534,0.013267447,0.036530375,0.748107099,0.00050435
0.624240597,0.27660274,0.053460423,0.016426119,0.813815196,0.401587961
4.737164145,0.030136986,0.06781673,0.036683203,0.149434385,0
1.198469512,0.701260274,0.050303584,0.021356252,1.474492148,0.41357504
2.790779214,0.068493151,0.073627616,0.00761224,1.997180715,0.008119023
0.917289003,1.449205479,0.00788424,0.016686673,1.024754821,0.473490265
4.434529107,0.528657534,0.053153385,0.026279729,0.54328877,1.73E-05
2.3989609,0.701260274,0.03399584,0.034549859,0.661381143,0.019668503
1.858057184,0.010958904,0.057816085,0.032042333,0.867735434,0
1.575417317,0.010958904,0.013950875,0.025062882,0.975731252,1.14E-07
0.308646865,2.043835616,0.028813869,0.019087323,0.456774833,0.691764399
1.064626577,0.451945205,0.053595241,0.013511929,1.058864663,0.259802824
0.724092959,0.701260274,0.02692203,0.049542141,0.867735434,0.390167713
4.306698319,0.068493151,0.005621969,0.026037271,0.469736913,0
2.549807462,0.068493151,0.023127204,0.009109122,1.925343248,0.009722311
1.828705645,0.27660274,0.05605439,0.026806631,1.059445434,0.052227336
3.141245009,0.030136986,0.039166395,0.044022061,1.785240151,1.45E-05
3.415014201,0.010958904,0.007374498,0.040167385,0.189356536,0
4.013311898,2.043835616,0.032401163,0.006371453,1.171256713,0.317149921
1.919658542,0.087671233,0.073564313,0.025636289,0.078733355,0
4.218269828,0.375232877,0.047868758,0.03209926,1.704904231,0.073817305
3.061600421,0.087671233,0.00883053,0.003869667,0.724266679,6.16E-09
0.368800349,0.126027397,0.016646624,0.026118032,1.018403843,0.631199651
